state_actor,country,handle,user_id
Russia,Afghanistan,RusEmbassyKabul,341458109
Russia,Albania,AlEmbassyRussia,2443627328
Russia,Algeria,AmbRus_Algerie,343283070
Russia,Argentina,EmbRusiaEnArgEs,340383579
Russia,Armenia,armembrus,841547755449417728
Russia,Australia,RusEmbAU,2393592282
Russia,Austria,RusBotWien,3001108415
Russia,Bahrain,RusEmbBAH,2887426436
Russia,Belarus,RusEmbassyMinsk,355463027
Russia,Belgium,amrusbel,337801457
Russia,Benin,AmbRusBen,2834271215
Russia,"Bolivia, Plurinational State Of",EmbRusBoliviaEs,3315365169
Russia,Bosnia And Herzegovina,RusEmbBih,3384283787
Russia,Botswana,EmbRusBotswana,1346589858
Russia,Brazil,embaixadarussa,243632239
Russia,Brunei Darussalam,RusEmbBrunei,355913325
Russia,Bulgaria,RusEmbBul,1319908188
Russia,Burundi,ambrusburundi,350820357
Russia,Cambodia,CamboRusEmba,1168964126
Russia,Canada,RussianEmbassyC,475954041
Russia,Chile,EmbRusChile,370744265
Russia,China,Rusembchina,4104072592
Russia,Colombia,RusiaColombia,1969240051
Russia,Congo,Russie_au_Congo,2905424987
Russia,"Congo, Democratic Republic Of The",ambrus_drc,1024596885661802496
Russia,Costa Rica,recostarica,2786944454
Russia,Côte D'Ivoire,AmbRusRCI,2176393896
Russia,Croatia,RusEmbCro,2870280371
Russia,Cuba,EmbRusCuba,1074800809
Russia,Cyprus,RusEmbCyprus,2443794655
Russia,Czechia,AmbRusCz,1179350539
Russia,Denmark,RusEmbDK,219649914
Russia,Ecuador,RusEmb_Ecuador,1209375380
Russia,Egypt,Rusembegypt,1217887332
Russia,Eritrea,rusemberitrea,898505259915653120
Russia,Estonia,RusEmbEst,861038390
Russia,Ethiopia,RusEmbEthiopia,2241978086
Russia,Finland,RussianEmbFinla,830816755
Russia,France,AmbRusFrance,342709703
Russia,Gabon,ambrusga,1030902007
Russia,Germany,RusBotschaft,596243227
Russia,Ghana,RusEmbGhanaEng,342052613
Russia,Greece,RFEmbassyGr,340891133
Russia,Guatemala,EmbRusaGuate,988473748373344256
Russia,Guinea,RussieConakry,2216232204
Russia,Guinea-Bissau,RusBissau,852526065167847424
Russia,Guyana,rusembassy,430703645
Russia,Holy See,emb_rus,1019971247403421697
Russia,Honduras,EmbajadadeHond2,920638823251435520
Russia,Hungary,RusEmbHungary,1222310623
Russia,Iceland,RusEmb_Iceland,2181931022
Russia,India,RusEmbIndia,707067944
Russia,Indonesia,RusEmbJakarta,360374306
Russia,"Iran, Islamic Republic Of",RusEmbIran,2862427882
Russia,Iraq,RusEmbassyIraq,625136937
Russia,Ireland,Rus_Emb_Ireland,343390384
Russia,Israel,israel_mid_ru,427641057
Russia,Italy,rusembitaly,508588196
Russia,Jamaica,RussiaJamaica,249125650
Russia,Japan,RusEmbassyJ,1669981711
Russia,Jordan,RusEmbJordan,3069186900
Russia,Kazakhstan,Rfembkazakhstan,963722112
Russia,Kenya,russembkenya,1174451010
Russia,"Korea, Democratic People'S Republic Of",RusEmbDPRK,844532056126312449
Russia,"Korea, Republic Of",RusEmb_Korea,508086756
Russia,Kuwait,RusEmbKuw,1537517570
Russia,Latvia,LV_RUSEMBAS,1016863818
Russia,Lebanon,rusembleb,1175908962
Russia,Lithuania,RusEmb_LT,896911531
Russia,Luxembourg,RusEmbLux,347817121
Russia,Madagascar,Amb_de_Russie,360567886
Russia,Malaysia,RusEmb_Malaysia,3249337729
Russia,Malta,RusEmbMalta,2560789458
Russia,Mauritius,RusEmbMauritius,2177916206
Russia,Mexico,EmbRusiaMexico,1219583316
Russia,Mongolia,RusEmbMNG,832364958
Russia,Montenegro,AmbRusME,2908230551
Russia,Morocco,U_MAROC,1286592128
Russia,Mozambique,EmbRusMoz,909814939191300097
Russia,Myanmar,EmbassyMyanmar,1376747153188663296
Russia,Namibia,RusEmbNam,967711162040274945
Russia,Nepal,embassy_russia,1259209052556414976
Russia,Netherlands,rusembassynl,3256927757
Russia,New Zealand,rusembnz,851211924008194048
Russia,Nicaragua,EmbRusNicaragua,1216761593029066752
Russia,Nigeria,RusEmbNigeria,289259276
Russia,North Macedonia,Russian_Emb_MKD,3040808199
Russia,Norway,RusEmbNo,1034858136
Russia,Oman,RussianEmbOman,945550227431452672
Russia,Pakistan,RusEmbPakistan,754546772
Russia,"Palestine, State Of",RusRepRamallah,2179603751
Russia,Panama,EmbRusPan,714243236055764992
Russia,Paraguay,embajada_rusia,1037062341521801216
Russia,Peru,RusEmbPeru,1084150796
Russia,Philippines,RusEmbManila,1003862277982863360
Russia,Poland,rusemb_pl,111219262
Russia,Portugal,EmbaixadaRusPt,343279529
Russia,Qatar,russiaqatar,1174204969190400000
Russia,Romania,AmbRusRomania,1375087868520103941
Russia,Rwanda,RusEmb_Rwanda,2973689249
Russia,Saudi Arabia,RusEmb_KSA,2258679602
Russia,Senegal,AmbRusSenegal,2201040799
Russia,Serbia,AmbasadaRusije,340170700
Russia,Seychelles,RusEmbSey,1026681586614501376
Russia,Singapore,RusEmbSG,192795235
Russia,Slovakia,RusEmbSK,875196163
Russia,Slovenia,AmbrusSlo,429872186
Russia,South Africa,EmbassyofRussia,706646642
Russia,Spain,EmbajadaRusaES,343933160
Russia,Sri Lanka,RusEmbSriLanka,346275669
Russia,Sudan,Rus_Emb_Sudan,2230446228
Russia,Sweden,RusEmbSwe,2863695419
Russia,Switzerland,RusEmbSwiss,1200248072
Russia,Syrian Arab Republic,RusEmbSyria,2168019920
Russia,"Tanzania, United Republic Of",rusembtz,2872855836
Russia,Thailand,RusEmbBangkok,398068796
Russia,Tunisia,AmbRusTun,1092496052
Russia,Turkey,RusEmbTurkey,848884243
Russia,Turkmenistan,rusemb_tm,1177919665
Russia,Uganda,RusEmbUganda,2174261359
Russia,Ukraine,RusembUkraine,1256490685
Russia,United Arab Emirates,RusEmbassyUAE,700689212
Russia,United Kingdom Of Great Britain And Northern Ireland,RussianEmbassy,114718372
Russia,United States Of America,RusEmbUSA,1267887043
Russia,Uruguay,EmbRusUruguay,2166975690
Russia,Uzbekistan,russiauz,342011119
Russia,"Venezuela, Bolivarian Republic Of",EmbajadaRusaVen,2154112404
Russia,Viet Nam,RusEmbVietnam,1482255390
Russia,Yemen,RussianEmbYemen,829080188180905985
Russia,Zambia,RusembZ,1319558000261083137
Russia,Zimbabwe,RuEmbZimbabwe,2150757894
United States of America,Afghanistan,USEmbassyKabul,21645304
United States of America,Albania,USEmbassyTirana,498663728
United States of America,Algeria,USEmbAlgiers,266008957
United States of America,Angola,usembassyluanda,1121721934813782020
United States of America,Argentina,USEmbArgentina,486678517
United States of America,Armenia,usembarmenia,119023613
United States of America,Australia,USAembassyinOZ,67232748
United States of America,Austria,usembvienna,86029229
United States of America,Azerbaijan,USEmbassyBaku,238019832
United States of America,Bahamas,USEmbassyNassau,618334097
United States of America,Bahrain,USEmbassyManama,262149951
United States of America,Bangladesh,usembassydhaka,216234513
United States of America,Barbados,USEmbassyBtown,163910493
United States of America,Belarus,USEmbBy,2950969565
United States of America,Belgium,usembbrussels,19981036
United States of America,Belize,USMissionBelize,2182811810
United States of America,Benin,USEmbassyBenin,2283571250
United States of America,Bermuda,USConsHamilton,3394027354
United States of America,"Bolivia, Plurinational State Of",EmbEUAenBolivia,168498034
United States of America,Bosnia And Herzegovina,USEmbassySJJ,329542325
United States of America,Botswana,USEmbassyBW,481225816
United States of America,Brazil,EmbaixadaEUA,24511456
United States of America,Brunei Darussalam,USEmbassyBSB,2435051258
United States of America,Bulgaria,USEmbassySofia,3003327610
United States of America,Burkina Faso,Usembassyouaga,275033412
United States of America,Burundi,US_Emb_Burundi,727410381954523136
United States of America,Cabo Verde,USEmbassyPraia,390106290
United States of America,Cambodia,USEmbPhnomPenh,167992419
United States of America,Cameroon,USEmbYaounde,1299489810
United States of America,Canada,usembassyottawa,17001435
United States of America,Central African Republic,EmbassyBangui,4209001432
United States of America,Chile,EmbajadaEEUUcl,102061279
United States of America,China,USA_China_Talk,89421672
